ID,Gender,Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents,Quarter,Referred a Friend,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Satisfaction Score,Churn Label,churn rate,active customers,churned customers,Revenue lost,Toal revenue lost,Tenure in groups,
0,Male,78,No,Yes,No,No,0,Q3,No,0,1,No Offer,No,0,No,Yes,DSL,8,No,No,Yes,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,39.65,3,Yes,27,5174,1869,39.65,2862577,0-12 Months,
1,Female,74,No,Yes,Yes,Yes,1,Q3,Yes,1,8,Offer E,Yes,48.85,Yes,Yes,Fiber Optic,17,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,80.65,3,Yes,,,,645.2,2862537,0-12 Months,
2,Male,71,No,Yes,No,Yes,3,Q3,No,0,18,Offer D,Yes,11.33,Yes,Yes,Fiber Optic,52,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,95.45,2,Yes,,,,1718.1,2861892,13-24 Months,
3,Female,78,No,Yes,Yes,Yes,1,Q3,Yes,1,25,Offer C,Yes,19.76,No,Yes,Fiber Optic,12,No,Yes,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,98.5,2,Yes,,,,2462.5,2860174,25-48 Months,
4,Female,80,No,Yes,Yes,Yes,1,Q3,Yes,1,37,Offer C,Yes,6.33,Yes,Yes,Fiber Optic,14,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,76.5,2,Yes,,,,2830.5,2857711,25-48 Months,
5,Female,72,No,Yes,No,Yes,1,Q3,No,0,27,Offer C,Yes,3.33,Yes,Yes,Fiber Optic,18,No,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,78.05,1,Yes,,,,2107.35,2854881,25-48 Months,
6,Female,76,No,Yes,Yes,Yes,2,Q3,Yes,1,1,Offer E,Yes,15.28,No,Yes,Fiber Optic,30,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,70.45,2,Yes,,,,70.45,2852774,0-12 Months,
7,Male,66,No,Yes,Yes,No,0,Q3,Yes,6,58,Offer B,No,0,No,Yes,DSL,24,No,Yes,Yes,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,45.3,1,Yes,,,,2627.4,2852703,49+ Months,
8,Female,70,No,Yes,No,Yes,2,Q3,No,0,15,Offer D,Yes,44.07,Yes,Yes,Fiber Optic,19,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,74.45,2,Yes,,,,1116.75,2850076,13-24 Months,
9,Female,77,No,Yes,No,Yes,2,Q3,No,0,7,Offer E,Yes,26.95,No,Yes,Fiber Optic,18,Yes,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,76.45,2,Yes,,,,535.15,2848959,0-12 Months,
10,Female,78,No,Yes,No,Yes,1,Q3,No,0,11,Offer D,Yes,11.59,No,Yes,Fiber Optic,29,No,Yes,No,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,95,1,Yes,,,,1045,2848424,0-12 Months,
11,Male,65,No,Yes,No,No,0,Q3,No,0,15,Offer D,Yes,29.11,No,Yes,Fiber Optic,29,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.4,1,Yes,,,,1116,2847379,13-24 Months,
12,Male,77,No,Yes,Yes,No,0,Q3,Yes,1,1,Offer E,No,0,No,Yes,DSL,12,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,40.2,2,Yes,,,,40.2,2846263,0-12 Months,
13,Male,67,No,Yes,No,No,0,Q3,No,0,3,Offer E,No,0,No,Yes,DSL,28,No,No,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,41.15,2,Yes,,,,123.45,2846223,0-12 Months,
14,Male,68,No,Yes,No,No,0,Q3,No,0,13,Offer D,Yes,32.68,Yes,Yes,Cable,11,No,Yes,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,106.9,1,Yes,,,,1389.7,2846099,13-24 Months,
15,Female,68,No,Yes,No,No,0,Q3,No,0,16,Offer D,Yes,9.43,No,Yes,Fiber Optic,9,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.45,1,Yes,,,,1511.2,2844710,13-24 Months,
16,Male,66,No,Yes,No,No,0,Q3,No,0,8,No Offer,Yes,1.78,No,Yes,Fiber Optic,7,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.5,2,Yes,,,,596,2843198,0-12 Months,
17,Male,69,No,Yes,No,No,0,Q3,No,0,24,Offer C,Yes,30.87,Yes,Yes,Fiber Optic,15,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,76.1,2,Yes,,,,1826.4,2842602,13-24 Months,
18,Female,74,No,Yes,No,No,0,Q3,No,0,4,Offer E,Yes,31.61,Yes,Yes,Fiber Optic,2,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,95.45,3,Yes,,,,381.8,2840776,0-12 Months,
19,Male,76,No,Yes,Yes,No,0,Q3,Yes,2,32,Offer C,Yes,47.34,Yes,Yes,Fiber Optic,10,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.9,2,Yes,,,,2396.8,2840394,25-48 Months,
20,Male,77,No,Yes,Yes,No,0,Q3,Yes,1,24,Offer C,Yes,16.1,No,Yes,Cable,12,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,93.15,2,Yes,,,,2235.6,2837997,13-24 Months,
21,Female,70,No,Yes,No,No,0,Q3,No,0,54,Offer B,Yes,12.08,Yes,Yes,DSL,5,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,82.45,1,Yes,,,,4452.3,2835762,49+ Months,
22,Female,74,No,Yes,No,No,0,Q3,No,0,2,Offer E,Yes,13.17,No,Yes,Fiber Optic,10,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,70.35,3,Yes,,,,140.7,2831309,0-12 Months,
23,Female,77,No,Yes,No,No,0,Q3,No,0,21,No Offer,No,0,No,Yes,Cable,8,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,41.9,1,Yes,,,,879.9,2831169,13-24 Months,
24,Male,71,No,Yes,Yes,No,0,Q3,No,0,27,No Offer,No,0,No,Yes,Cable,13,Yes,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,30.75,1,Yes,,,,830.25,2830289,25-48 Months,
25,Male,79,No,Yes,Yes,No,0,Q3,Yes,1,11,No Offer,Yes,29.54,No,No,Fiber Optic,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Mailed Check,19.95,1,Yes,,,,219.45,2829459,0-12 Months,
26,Female,66,No,Yes,Yes,No,0,Q3,Yes,2,55,Offer B,Yes,42.82,Yes,Yes,Fiber Optic,27,No,Yes,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,85.45,1,Yes,,,,4699.75,2829239,49+ Months,
27,Male,77,No,Yes,No,No,0,Q3,No,0,3,Offer E,Yes,9.22,Yes,Yes,Fiber Optic,14,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,81.35,1,Yes,,,,244.05,2824539,0-12 Months,
28,Female,80,No,Yes,No,No,0,Q3,No,0,1,Offer E,Yes,35.09,No,Yes,Fiber Optic,17,No,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,75.3,2,Yes,,,,75.3,2824295,0-12 Months,
29,Female,77,No,Yes,No,No,0,Q3,No,0,5,Offer E,No,0,No,Yes,DSL,26,No,Yes,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,28.45,2,Yes,,,,142.25,2824220,0-12 Months,
30,Female,77,No,Yes,No,No,0,Q3,No,0,20,No Offer,Yes,48.73,Yes,Yes,Fiber Optic,12,No,Yes,Yes,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,94.1,1,Yes,,,,1882,2824078,13-24 Months,
31,Female,72,No,Yes,Yes,No,0,Q3,Yes,4,5,Offer E,Yes,45.76,Yes,Yes,Fiber Optic,22,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.35,1,Yes,,,,371.75,2822196,0-12 Months,
32,Female,80,No,Yes,Yes,No,0,Q3,Yes,2,27,No Offer,Yes,7.02,No,Yes,Cable,25,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.2,1,Yes,,,,2030.4,2821824,25-48 Months,
33,Female,74,No,Yes,No,No,0,Q3,No,0,4,No Offer,Yes,48.35,Yes,Yes,Cable,24,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.2,1,Yes,,,,356.8,2819794,0-12 Months,
34,Female,68,No,Yes,No,No,0,Q3,No,0,1,No Offer,Yes,45.81,Yes,Yes,Fiber Optic,21,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,85.7,1,Yes,,,,85.7,2819437,0-12 Months,
35,Female,78,No,Yes,Yes,No,0,Q3,Yes,3,65,Offer B,Yes,18.39,Yes,Yes,Fiber Optic,28,Yes,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,No,Bank Withdrawal,105.25,1,Yes,,,,6841.25,2819351,49+ Months,
36,Male,75,No,Yes,Yes,No,0,Q3,Yes,3,49,Offer B,Yes,22.92,Yes,Yes,Fiber Optic,14,No,Yes,No,No,No,Yes,No,Yes,Month-to-Month,No,Credit Card,90.05,2,Yes,,,,4412.45,2812510,49+ Months,
37,Male,77,No,Yes,Yes,No,0,Q3,Yes,1,43,Offer B,Yes,14.52,Yes,Yes,Fiber Optic,5,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,110.75,2,Yes,,,,4762.25,2808097,25-48 Months,
38,Male,80,No,Yes,Yes,No,0,Q3,No,0,56,Offer B,Yes,48.8,Yes,Yes,Fiber Optic,12,Yes,No,Yes,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,104.55,1,Yes,,,,5854.8,2803335,49+ Months,
39,Male,75,No,Yes,Yes,No,0,Q3,Yes,7,20,No Offer,Yes,5.31,Yes,Yes,Fiber Optic,10,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.55,1,Yes,,,,1891,2797480,13-24 Months,
40,Female,69,No,Yes,No,No,0,Q3,No,0,2,No Offer,Yes,47.47,Yes,Yes,Fiber Optic,19,No,Yes,No,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,89.5,2,Yes,,,,179,2795589,0-12 Months,
41,Female,74,No,Yes,No,No,0,Q3,No,0,8,No Offer,Yes,27.95,No,No,Fiber Optic,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,19.65,2,Yes,,,,157.2,2795410,0-12 Months,
42,Male,76,No,Yes,No,No,0,Q3,No,0,52,No Offer,No,0,No,Yes,DSL,18,No,Yes,No,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,49.15,2,Yes,,,,2555.8,2795253,49+ Months,
